Surname,count,percent,min_rank,cume_dist
堀江,951,0.053250581220854964,338,0.49532518538057974
宇野,943,0.052802626804696356,339,0.49679064450892463
野中,940,0.052634643898636875,340,0.4982561036372696
杉田,937,0.052466660992577394,341,0.4997215627656144
高島,933,0.05224268378449809,342,0.5026524810223043
梅田,933,0.05224268378449809,342,0.5026524810223043
土田,932,0.05218668948247826,344,0.5041179401506491
嶋田,929,0.05201870657641878,345,0.5055833992789941
井口,928,0.05196271227439896,346,0.507048858407339
須田,924,0.05173873506631965,347,0.508514317535684
栗田,922,0.05162674646228,348,0.5099797766640288
安井,911,0.051010809140061904,349,0.5114452357923738
川端,907,0.0507868319319826,350,0.5129106949207186
日高,905,0.05067484332794295,351,0.5143761540490636
石黒,901,0.05045086611986364,352,0.5158416131774085
川田,898,0.05028288321380416,353,0.5173070723057535
新田,892,0.049946917401685206,354,0.5187725314340983
吉原,889,0.049778934495625725,355,0.5202379905624432
大竹,888,0.049722940193605895,356,0.5217034496907881
小野寺,887,0.04966694589158607,357,0.523168908819133
高瀬,884,0.0494989629855266,358,0.5246343679474779
竹中,883,0.04944296868350677,359,0.5260998270758228
山川,878,0.049162997173407635,360,0.5275652862041678
今野,874,0.04893901996532833,361,0.5290307453325127
小沢,870,0.04871504275724902,362,0.5304962044608577
甲斐,868,0.04860305415320937,363,0.5319616635892025
向井,867,0.04854705985118954,364,0.5334271227175474
大木,866,0.048491065549169717,365,0.5363580409742372
塚田,866,0.048491065549169717,365,0.5363580409742372
三上,860,0.04815509973705076,367,0.5392889592309271
藤岡,860,0.04815509973705076,367,0.5392889592309271
荻野,853,0.047763139622911975,369,0.540754418359272
窪田,851,0.047651151018872316,370,0.5422198774876169
奥野,845,0.04731518520675336,371,0.5451507957443067
平松,845,0.04731518520675336,371,0.5451507957443067
及川,843,0.04720319660271371,373,0.5495471731293414
山村,843,0.04720319660271371,373,0.5495471731293414
藤村,843,0.04720319660271371,373,0.5495471731293414
奥山,842,0.04714720230069388,376,0.5510126322576864
劉,841,0.047091207998674056,377,0.5524780913860312
北野,840,0.04703521369665423,378,0.5539435505143762
